Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1659669829.31398606300;10.1.1.1;10.2.1.1;59;500;54321;1234;53;0;1659669829.29079794884;0.02318811417;purr2.log;purr2;purr;142390
1659669829.34458994865;10.1.1.1;10.2.1.1;59;500;54321;1234;54;0;1659669829.32259607315;0.02199387550;purr2.log;purr2;purr;142390
1659669829.37430810928;10.1.1.1;10.2.1.1;59;500;54321;1234;55;0;1659669829.34718704224;0.02712106705;purr2.log;purr2;purr;142390
1659669829.40398001671;10.1.1.1;10.2.1.1;59;500;54321;1234;56;0;1659669829.37978291512;0.02419710159;purr2.log;purr2;purr;142390
1659669829.43464398384;10.1.1.1;10.2.1.1;59;500;54321;1234;57;0;1659669829.41147899628;0.02316498756;purr2.log;purr2;purr;142390
1659669829.46496391296;10.1.1.1;10.2.1.1;59;500;54321;1234;58;0;1659669829.43926501274;0.02569890022;purr2.log;purr2;purr;142390
1659669829.49883008003;10.1.1.1;10.2.1.1;59;500;54321;1234;59;0;1659669829.47274708748;0.02608299255;purr2.log;purr2;purr;142390
1659669829.53312110901;10.1.1.1;10.2.1.1;59;500;54321;1234;60;0;1659669829.50332498550;0.02979612350;purr2.log;purr2;purr;142390
1659669829.56898498535;10.1.1.1;10.2.1.1;59;500;54321;1234;61;0;1659669829.54144310951;0.02754187584;purr2.log;purr2;purr;142390
1659669829.60299611092;10.1.1.1;10.2.1.1;59;500;54321;1234;62;0;1659669829.57272005081;0.03027606010;purr2.log;purr2;purr;142390
1659669829.63557195663;10.1.1.1;10.2.1.1;59;500;54321;1234;63;0;1659669829.60735702515;0.02821493149;purr2.log;purr2;purr;142390
1659669829.66933298111;10.1.1.1;10.2.1.1;59;500;54321;1234;64;0;1659669829.63986301422;0.02946996689;purr2.log;purr2;purr;142390
1659669829.70198011398;10.1.1.1;10.2.1.1;59;500;54321;1234;65;0;1659669829.67697095871;0.02500915527;purr2.log;purr2;purr;142390
1659669829.73864293098;10.1.1.1;10.2.1.1;59;500;54321;1234;66;0;1659669829.70460891724;0.03403401375;purr2.log;purr2;purr;142390
1659669829.77026391029;10.1.1.1;10.2.1.1;59;500;54321;1234;67;0;1659669829.74448609352;0.02577781677;purr2.log;purr2;purr;142390
1659669829.80127000809;10.1.1.1;10.2.1.1;59;500;54321;1234;68;0;1659669829.77632403374;0.02494597435;purr2.log;purr2;purr;142390
1659669829.83507800102;10.1.1.1;10.2.1.1;59;500;54321;1234;69;0;1659669829.80862998962;0.02644801140;purr2.log;purr2;purr;142390
1659669829.86943006516;10.1.1.1;10.2.1.1;59;500;54321;1234;70;0;1659669829.83988904953;0.02954101562;purr2.log;purr2;purr;142390
1659669829.90523004532;10.1.1.1;10.2.1.1;59;500;54321;1234;71;0;1659669829.87675309181;0.02847695351;purr2.log;purr2;purr;142390
1659669829.94455695152;10.1.1.1;10.2.1.1;59;500;54321;1234;72;0;1659669829.90884399414;0.03571295738;purr2.log;purr2;purr;142390
1659669829.98200106621;10.1.1.1;10.2.1.1;59;500;54321;1234;73;0;1659669829.95359992981;0.02840113640;purr2.log;purr2;purr;142390
1659669830.01617002487;10.1.1.1;10.2.1.1;59;500;54321;1234;74;0;1659669829.98854494095;0.02762508392;purr2.log;purr2;purr;142390
1659669830.04802894592;10.1.1.1;10.2.1.1;59;500;54321;1234;75;0;1659669830.02003502846;0.02799391747;purr2.log;purr2;purr;142390
1659669830.08286309242;10.1.1.1;10.2.1.1;59;500;54321;1234;76;0;1659669830.05456495285;0.02829813957;purr2.log;purr2;purr;142390
