Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641343856.96605205536;10.1.1.1;10.2.1.1;59;500;54321;1234;47;0;1641343856.90212607384;0.06392598152;limpo2.log;limpo2;limpo;213611;1112
1641343857.02490592003;10.1.1.1;10.2.1.1;59;500;54321;1234;48;0;1641343856.96618294716;0.05872297287;limpo2.log;limpo2;limpo;213611;1112
1641343857.10697793961;10.1.1.1;10.2.1.1;59;500;54321;1234;49;0;1641343857.02617001534;0.08080792427;limpo2.log;limpo2;limpo;213611;1112
1641343857.15104103088;10.1.1.1;10.2.1.1;59;500;54321;1234;50;0;1641343857.11008906364;0.04095196724;limpo2.log;limpo2;limpo;213611;1112
1641343857.22766709328;10.1.1.1;10.2.1.1;59;500;54321;1234;51;0;1641343857.15015196800;0.07751512527;limpo2.log;limpo2;limpo;213611;1112
1641343857.26648497581;10.1.1.1;10.2.1.1;59;500;54321;1234;52;0;1641343857.22996902466;0.03651595116;limpo2.log;limpo2;limpo;213611;1112
1641343857.30917000771;10.1.1.1;10.2.1.1;59;500;54321;1234;53;0;1641343857.26599788666;0.04317212105;limpo2.log;limpo2;limpo;213611;1112
1641343857.37718605995;10.1.1.1;10.2.1.1;59;500;54321;1234;54;0;1641343857.31000089645;0.06718516350;limpo2.log;limpo2;limpo;213611;1112
1641343857.42916393280;10.1.1.1;10.2.1.1;59;500;54321;1234;55;0;1641343857.37796902657;0.05119490623;limpo2.log;limpo2;limpo;213611;1112
1641343857.50662708282;10.1.1.1;10.2.1.1;59;500;54321;1234;56;0;1641343857.43008494377;0.07654213905;limpo2.log;limpo2;limpo;213611;1112
1641343857.57509589195;10.1.1.1;10.2.1.1;59;500;54321;1234;57;0;1641343857.50606203079;0.06903386116;limpo2.log;limpo2;limpo;213611;1112
1641343857.65259909630;10.1.1.1;10.2.1.1;59;500;54321;1234;58;0;1641343857.61621499062;0.03638410568;limpo2.log;limpo2;limpo;213611;1112
1641343857.68504500389;10.1.1.1;10.2.1.1;59;500;54321;1234;59;0;1641343857.65452289581;0.03052210808;limpo2.log;limpo2;limpo;213611;1112
1641343857.71862411499;10.1.1.1;10.2.1.1;59;500;54321;1234;60;0;1641343857.68692207336;0.03170204163;limpo2.log;limpo2;limpo;213611;1112
1641343857.75121808052;10.1.1.1;10.2.1.1;59;500;54321;1234;61;0;1641343857.72217011452;0.02904796600;limpo2.log;limpo2;limpo;213611;1112
1641343857.78410100937;10.1.1.1;10.2.1.1;59;500;54321;1234;62;0;1641343857.75777101517;0.02632999420;limpo2.log;limpo2;limpo;213611;1112
1641343857.81804895401;10.1.1.1;10.2.1.1;59;500;54321;1234;63;0;1641343857.78694891930;0.03110003471;limpo2.log;limpo2;limpo;213611;1112
1641343857.85337710381;10.1.1.1;10.2.1.1;59;500;54321;1234;64;0;1641343857.82171201706;0.03166508675;limpo2.log;limpo2;limpo;213611;1112
1641343857.89814496040;10.1.1.1;10.2.1.1;59;500;54321;1234;65;0;1641343857.86273288727;0.03541207314;limpo2.log;limpo2;limpo;213611;1112
1641343857.95832395554;10.1.1.1;10.2.1.1;59;500;54321;1234;66;0;1641343857.90223503113;0.05608892441;limpo2.log;limpo2;limpo;213611;1112
1641343858.04824900627;10.1.1.1;10.2.1.1;59;500;54321;1234;67;0;1641343857.96269989014;0.08554911613;limpo2.log;limpo2;limpo;213611;1112
1641343858.11481904984;10.1.1.1;10.2.1.1;59;500;54321;1234;68;0;1641343858.05437111855;0.06044793129;limpo2.log;limpo2;limpo;213611;1112
1641343858.15457201004;10.1.1.1;10.2.1.1;59;500;54321;1234;69;0;1641343858.12428903580;0.03028297424;limpo2.log;limpo2;limpo;213611;1112
1641343858.24419498444;10.1.1.1;10.2.1.1;59;500;54321;1234;70;0;1641343858.15409588814;0.09009909630;limpo2.log;limpo2;limpo;213611;1112
1641343858.34801006317;10.1.1.1;10.2.1.1;59;500;54321;1234;71;0;1641343858.25352096558;0.09448909760;limpo2.log;limpo2;limpo;213611;1112
1641343858.41600608826;10.1.1.1;10.2.1.1;59;500;54321;1234;72;0;1641343858.35413908958;0.06186699867;limpo2.log;limpo2;limpo;213611;1112
1641343858.52757406235;10.1.1.1;10.2.1.1;59;500;54321;1234;73;0;1641343858.42548799515;0.10208606720;limpo2.log;limpo2;limpo;213611;1112
1641343858.65372300148;10.1.1.1;10.2.1.1;59;500;54321;1234;74;0;1641343858.53834605217;0.11537694931;limpo2.log;limpo2;limpo;213611;1112
1641343858.71350002289;10.1.1.1;10.2.1.1;59;500;54321;1234;75;0;1641343858.65392994881;0.05957007408;limpo2.log;limpo2;limpo;213611;1112
1641343858.76187491417;10.1.1.1;10.2.1.1;59;500;54321;1234;76;0;1641343858.72228097916;0.03959393501;limpo2.log;limpo2;limpo;213611;1112
