Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641034642.25382399559;10.1.1.1;10.2.1.1;59;500;54321;1234;68;0;1641034642.17832207680;0.07550191879;rotor3.log;rotor3;rotor;281164;1112
1641034642.29182791710;10.1.1.1;10.2.1.1;59;500;54321;1234;69;0;1641034642.25878310204;0.03304481506;rotor3.log;rotor3;rotor;281164;1112
1641034642.34389495850;10.1.1.1;10.2.1.1;59;500;54321;1234;70;0;1641034642.29516100883;0.04873394966;rotor3.log;rotor3;rotor;281164;1112
1641034642.37405896187;10.1.1.1;10.2.1.1;59;500;54321;1234;71;0;1641034642.34064602852;0.03341293335;rotor3.log;rotor3;rotor;281164;1112
1641034642.40586304665;10.1.1.1;10.2.1.1;59;500;54321;1234;72;0;1641034642.37826991081;0.02759313583;rotor3.log;rotor3;rotor;281164;1112
1641034642.43824005127;10.1.1.1;10.2.1.1;59;500;54321;1234;73;0;1641034642.41018009186;0.02805995941;rotor3.log;rotor3;rotor;281164;1112
1641034642.46638488770;10.1.1.1;10.2.1.1;59;500;54321;1234;74;0;1641034642.43826007843;0.02812480927;rotor3.log;rotor3;rotor;281164;1112
1641034642.49925398827;10.1.1.1;10.2.1.1;59;500;54321;1234;75;0;1641034642.46602010727;0.03323388100;rotor3.log;rotor3;rotor;281164;1112
1641034642.53164196014;10.1.1.1;10.2.1.1;59;500;54321;1234;76;0;1641034642.50226807594;0.02937388420;rotor3.log;rotor3;rotor;281164;1112
1641034642.56219506264;10.1.1.1;10.2.1.1;59;500;54321;1234;77;0;1641034642.53426504135;0.02793002129;rotor3.log;rotor3;rotor;281164;1112
1641034642.59612488747;10.1.1.1;10.2.1.1;59;500;54321;1234;78;0;1641034642.56596302986;0.03016185760;rotor3.log;rotor3;rotor;281164;1112
1641034642.63133192062;10.1.1.1;10.2.1.1;59;500;54321;1234;79;0;1641034642.59846806526;0.03286385536;rotor3.log;rotor3;rotor;281164;1112
1641034642.66135597229;10.1.1.1;10.2.1.1;59;500;54321;1234;80;0;1641034642.63426303864;0.02709293365;rotor3.log;rotor3;rotor;281164;1112
1641034642.69969797134;10.1.1.1;10.2.1.1;59;500;54321;1234;81;0;1641034642.66623091698;0.03346705437;rotor3.log;rotor3;rotor;281164;1112
1641034642.73505592346;10.1.1.1;10.2.1.1;59;500;54321;1234;82;0;1641034642.70240807533;0.03264784813;rotor3.log;rotor3;rotor;281164;1112
1641034642.76641297340;10.1.1.1;10.2.1.1;59;500;54321;1234;83;0;1641034642.73778700829;0.02862596512;rotor3.log;rotor3;rotor;281164;1112
1641034642.80292105675;10.1.1.1;10.2.1.1;59;500;54321;1234;84;0;1641034642.77040696144;0.03251409531;rotor3.log;rotor3;rotor;281164;1112
1641034642.84035396576;10.1.1.1;10.2.1.1;59;500;54321;1234;85;0;1641034642.80635309219;0.03400087357;rotor3.log;rotor3;rotor;281164;1112
1641034642.87369990349;10.1.1.1;10.2.1.1;59;500;54321;1234;86;0;1641034642.84643888474;0.02726101875;rotor3.log;rotor3;rotor;281164;1112
1641034642.91545391083;10.1.1.1;10.2.1.1;59;500;54321;1234;87;0;1641034642.87843489647;0.03701901436;rotor3.log;rotor3;rotor;281164;1112
1641034642.95614004135;10.1.1.1;10.2.1.1;59;500;54321;1234;88;0;1641034642.91846108437;0.03767895699;rotor3.log;rotor3;rotor;281164;1112
1641034642.99084496498;10.1.1.1;10.2.1.1;59;500;54321;1234;89;0;1641034642.95846199989;0.03238296509;rotor3.log;rotor3;rotor;281164;1112
1641034643.02654194832;10.1.1.1;10.2.1.1;59;500;54321;1234;90;0;1641034642.99431204796;0.03222990036;rotor3.log;rotor3;rotor;281164;1112
1641034643.05934000015;10.1.1.1;10.2.1.1;59;500;54321;1234;91;0;1641034643.02634096146;0.03299903870;rotor3.log;rotor3;rotor;281164;1112
1641034643.09986901283;10.1.1.1;10.2.1.1;59;500;54321;1234;92;0;1641034643.06242799759;0.03744101524;rotor3.log;rotor3;rotor;281164;1112
1641034643.13550496101;10.1.1.1;10.2.1.1;59;500;54321;1234;93;0;1641034643.10281896591;0.03268599510;rotor3.log;rotor3;rotor;281164;1112
1641034643.17499589920;10.1.1.1;10.2.1.1;59;500;54321;1234;94;0;1641034643.14637398720;0.02862191200;rotor3.log;rotor3;rotor;281164;1112
1641034643.21108698845;10.1.1.1;10.2.1.1;59;500;54321;1234;95;0;1641034643.17851495743;0.03257203102;rotor3.log;rotor3;rotor;281164;1112
1641034643.24325489998;10.1.1.1;10.2.1.1;59;500;54321;1234;96;0;1641034643.21427488327;0.02898001671;rotor3.log;rotor3;rotor;281164;1112
1641034643.27933788300;10.1.1.1;10.2.1.1;59;500;54321;1234;97;0;1641034643.24234795570;0.03698992729;rotor3.log;rotor3;rotor;281164;1112
1641034643.30994510651;10.1.1.1;10.2.1.1;59;500;54321;1234;98;0;1641034643.28239202499;0.02755308151;rotor3.log;rotor3;rotor;281164;1112
1641034643.34740900993;10.1.1.1;10.2.1.1;59;500;54321;1234;99;0;1641034643.31428289413;0.03312611580;rotor3.log;rotor3;rotor;281164;1112
1641034643.38715600967;10.1.1.1;10.2.1.1;59;500;54321;1234;100;0;1641034643.35053110123;0.03662490845;rotor3.log;rotor3;rotor;281164;1112
1641034643.41870689392;10.1.1.1;10.2.1.1;59;500;54321;1234;101;0;1641034643.39042711258;0.02827978134;rotor3.log;rotor3;rotor;281164;1112
1641034643.45475196838;10.1.1.1;10.2.1.1;59;500;54321;1234;102;0;1641034643.42243599892;0.03231596947;rotor3.log;rotor3;rotor;281164;1112
1641034643.48645591736;10.1.1.1;10.2.1.1;59;500;54321;1234;103;0;1641034643.45429706573;0.03215885162;rotor3.log;rotor3;rotor;281164;1112
1641034643.51822900772;10.1.1.1;10.2.1.1;59;500;54321;1234;104;0;1641034643.49028491974;0.02794408798;rotor3.log;rotor3;rotor;281164;1112
1641034643.56000089645;10.1.1.1;10.2.1.1;59;500;54321;1234;105;0;1641034643.52753305435;0.03246784210;rotor3.log;rotor3;rotor;281164;1112
1641034643.59819793701;10.1.1.1;10.2.1.1;59;500;54321;1234;106;0;1641034643.56229591370;0.03590202332;rotor3.log;rotor3;rotor;281164;1112
1641034643.63080811501;10.1.1.1;10.2.1.1;59;500;54321;1234;107;0;1641034643.60242700577;0.02838110924;rotor3.log;rotor3;rotor;281164;1112
1641034643.66242599487;10.1.1.1;10.2.1.1;59;500;54321;1234;108;0;1641034643.63832688332;0.02409911156;rotor3.log;rotor3;rotor;281164;1112
1641034643.69444608688;10.1.1.1;10.2.1.1;59;500;54321;1234;109;0;1641034643.66604709625;0.02839899063;rotor3.log;rotor3;rotor;281164;1112
1641034643.72774100304;10.1.1.1;10.2.1.1;59;500;54321;1234;110;0;1641034643.70240497589;0.02533602715;rotor3.log;rotor3;rotor;281164;1112
1641034643.75539803505;10.1.1.1;10.2.1.1;59;500;54321;1234;111;0;1641034643.73054409027;0.02485394478;rotor3.log;rotor3;rotor;281164;1112
1641034643.78625988960;10.1.1.1;10.2.1.1;59;500;54321;1234;112;0;1641034643.76196002960;0.02429986000;rotor3.log;rotor3;rotor;281164;1112
1641034643.81884694099;10.1.1.1;10.2.1.1;59;500;54321;1234;113;0;1641034643.79028010368;0.02856683731;rotor3.log;rotor3;rotor;281164;1112
1641034643.85161304474;10.1.1.1;10.2.1.1;59;500;54321;1234;114;0;1641034643.81841707230;0.03319597244;rotor3.log;rotor3;rotor;281164;1112
1641034643.88632988930;10.1.1.1;10.2.1.1;59;500;54321;1234;115;0;1641034643.85441994667;0.03190994263;rotor3.log;rotor3;rotor;281164;1112
1641034643.91850495338;10.1.1.1;10.2.1.1;59;500;54321;1234;116;0;1641034643.89028191566;0.02822303772;rotor3.log;rotor3;rotor;281164;1112
1641034643.95610404015;10.1.1.1;10.2.1.1;59;500;54321;1234;117;0;1641034643.92217111588;0.03393292427;rotor3.log;rotor3;rotor;281164;1112
1641034643.99122905731;10.1.1.1;10.2.1.1;59;500;54321;1234;118;0;1641034643.95842194557;0.03280711174;rotor3.log;rotor3;rotor;281164;1112
1641034644.03099107742;10.1.1.1;10.2.1.1;59;500;54321;1234;119;0;1641034643.99449801445;0.03649306297;rotor3.log;rotor3;rotor;281164;1112
1641034644.06680607796;10.1.1.1;10.2.1.1;59;500;54321;1234;120;0;1641034644.03443503380;0.03237104416;rotor3.log;rotor3;rotor;281164;1112
1641034644.10340189934;10.1.1.1;10.2.1.1;59;500;54321;1234;121;0;1641034644.07032799721;0.03307390213;rotor3.log;rotor3;rotor;281164;1112
1641034644.13603591919;10.1.1.1;10.2.1.1;59;500;54321;1234;122;0;1641034644.10639810562;0.02963781357;rotor3.log;rotor3;rotor;281164;1112
1641034644.16652798653;10.1.1.1;10.2.1.1;59;500;54321;1234;123;0;1641034644.13415002823;0.03237795830;rotor3.log;rotor3;rotor;281164;1112
1641034644.19956898689;10.1.1.1;10.2.1.1;59;500;54321;1234;124;0;1641034644.17023301125;0.02933597565;rotor3.log;rotor3;rotor;281164;1112
1641034644.23006105423;10.1.1.1;10.2.1.1;59;500;54321;1234;125;0;1641034644.20243406296;0.02762699127;rotor3.log;rotor3;rotor;281164;1112
1641034644.27162408829;10.1.1.1;10.2.1.1;59;500;54321;1234;126;0;1641034644.23430204391;0.03732204437;rotor3.log;rotor3;rotor;281164;1112
1641034644.30984711647;10.1.1.1;10.2.1.1;59;500;54321;1234;127;0;1641034644.27833604813;0.03151106834;rotor3.log;rotor3;rotor;281164;1112
1641034644.35217308998;10.1.1.1;10.2.1.1;59;500;54321;1234;128;0;1641034644.31414604187;0.03802704811;rotor3.log;rotor3;rotor;281164;1112
1641034644.38355493546;10.1.1.1;10.2.1.1;59;500;54321;1234;129;0;1641034644.35407304764;0.02948188782;rotor3.log;rotor3;rotor;281164;1112
1641034644.41828989983;10.1.1.1;10.2.1.1;59;500;54321;1234;130;0;1641034644.38596701622;0.03232288361;rotor3.log;rotor3;rotor;281164;1112
1641034644.45075201988;10.1.1.1;10.2.1.1;59;500;54321;1234;131;0;1641034644.42221593857;0.02853608131;rotor3.log;rotor3;rotor;281164;1112
1641034644.48331809044;10.1.1.1;10.2.1.1;59;500;54321;1234;132;0;1641034644.45403409004;0.02928400040;rotor3.log;rotor3;rotor;281164;1112
